cod_segmento;cods_segmento;cod_familia;cod_familia;cod_clase;nom_clase;cod_producto;nom_producto
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101501;Gatos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101502;Perros
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101504;Visón
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101505;Ratas
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101506;Caballos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101507;Ovejas
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101508;Cabras
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101509;Asnos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101510;Ratones
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101511;Cerdos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101512;Conejos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101513;Cobayas o conejillos de indias
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101514;Primates
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101515;Armadillos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101516;Ganado vacuno
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101500;Animales de granja;10101517;Camellos
10000000;Material Vivo Vegetal y Animal, Accesorios y Suministros;10100000;Animales vivos;10101600;Pájaros y aves de corral;10101601;Pollos vivos
